Signal Legend:

Key        Signal Name

0        = sine1kHz:ton_generation_dummy_0|coe_AUD1_BCLK
1        = sine1kHz:ton_generation_dummy_0|coe_AUD2_DACDAT
2        = sine1kHz:ton_generation_dummy_0|coe_AUD3_DACLRCK
3        = sine1kHz:ton_generation_dummy_0|reset_n
4        = sine1kHz:ton_generation_dummy_0|audio_reg[23..0]
5        = sine1kHz:ton_generation_dummy_0|BCLK_reg[1..0]
6        = sine1kHz:ton_generation_dummy_0|count_reg[5..0]
7        = sine1kHz:ton_generation_dummy_0|DACLRCK_reg[1..0]

Data Table:

Signals-> 0 1 2 3 4       5  6   7  

sample

-790      1 0 1 1 000000h 2h 12h 3h 
-789      0 0 1 1 000000h 1h 12h 3h 
-788      1 0 1 1 000000h 2h 12h 3h 
-787      0 0 1 1 000000h 1h 12h 3h 
-786      1 0 1 1 000000h 2h 12h 3h 
-785      0 0 1 1 000000h 1h 12h 3h 
-784      1 0 1 1 000000h 2h 12h 3h 
-783      0 0 1 1 000000h 1h 12h 3h 
-782      1 0 1 1 000000h 2h 12h 3h 
-781      0 0 1 1 000000h 1h 12h 3h 
-780      1 0 1 1 000000h 2h 12h 3h 
-779      0 0 1 1 000000h 1h 12h 3h 
-778      1 0 1 1 000000h 2h 12h 3h 
-777      0 0 1 1 000000h 1h 12h 3h 
-776      1 0 1 1 000000h 2h 12h 3h 
-775      0 0 1 1 000000h 1h 12h 3h 
-774      1 0 1 1 000000h 2h 12h 3h 
-773      0 0 1 1 000000h 1h 12h 3h 
-772      1 0 1 1 000000h 2h 12h 3h 
-771      0 0 1 1 000000h 1h 12h 3h 
-770      1 0 1 1 000000h 2h 12h 3h 
-769      0 0 1 1 000000h 1h 12h 3h 
-768      1 0 1 1 000000h 2h 12h 3h 
-767      0 0 1 1 000000h 1h 12h 3h 
-766      1 0 1 1 000000h 2h 12h 3h 
-765      0 0 1 1 000000h 1h 12h 3h 
-764      1 0 1 1 000000h 2h 12h 3h 
-763      0 0 1 1 000000h 1h 12h 3h 
-762      1 0 1 1 000000h 2h 12h 3h 
-761      0 0 1 1 000000h 1h 12h 3h 
-760      1 0 1 1 000000h 2h 12h 3h 
-759      0 0 1 1 000000h 1h 12h 3h 
-758      1 0 1 1 000000h 2h 12h 3h 
-757      0 0 1 1 000000h 1h 12h 3h 
-756      1 0 1 1 000000h 2h 12h 3h 
-755      0 0 1 1 000000h 1h 12h 3h 
-754      1 0 1 1 000000h 2h 12h 3h 
-753      0 0 1 1 000000h 1h 12h 3h 
-752      1 0 1 1 000000h 2h 12h 3h 
-751      0 0 1 1 000000h 1h 12h 3h 
-750      1 0 1 1 000000h 2h 12h 3h 
-749      0 0 1 1 000000h 1h 12h 3h 
-748      1 0 1 1 000000h 2h 12h 3h 
-747      0 0 1 1 000000h 1h 12h 3h 
-746      1 0 1 1 000000h 2h 12h 3h 
-745      0 0 1 1 000000h 1h 12h 3h 
-744      1 0 1 1 000000h 2h 12h 3h 
-743      0 0 1 1 000000h 1h 12h 3h 
-742      1 0 1 1 000000h 2h 12h 3h 
-741      0 0 1 1 000000h 1h 12h 3h 
